page,confidence,fchunk,url
0,0.8222903296047327,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
1,0.93754790642777,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
2,0.9430236429768922,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
3,0.9424216103636556,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
4,0.9530744545556044,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
5,0.9426555599073716,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
6,0.9390903688203596,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
7,0.943134064053836,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
8,0.8742033729568506,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
9,0.9253783264251612,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
10,0.93965764774693,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
11,0.9299981037219024,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
12,0.9356581919049092,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
13,0.9345351485670476,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
14,0.9343177972970136,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
15,0.9422560323726612,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
16,0.9321020878851414,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
17,0.934477611612553,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
18,0.9384668037259948,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
19,0.93857039920489,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
20,0.9253678329616456,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
21,0.9321089539805364,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
22,0.926460666050442,1940-01,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-01.pdf
0,0.9401011022756685,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
1,0.943307863907044,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
2,0.921323814306694,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
3,0.9348541676781,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
4,0.9109289554946394,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
5,0.9601524009371464,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
6,0.948020847222754,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
7,0.9432381939794012,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
8,0.9417661103602032,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
9,0.9566935516376348,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
10,0.9377320800078373,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
11,0.9457729667758142,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
12,0.9450566801835968,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
13,0.9249409449523722,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
14,0.9402913425738612,1940-02,https://www2.census.gov/library/publications/1941/compendia/statab/62ed/1940-02.pdf
